UniqueID	data_index	current_id	highlight_start	highlight_end	to_do_summary
162996606	501	055-009605-EM	52	58	$59$ $3305$ $61$ $530$ $11867$ $56$ $2776$ $262$ $620$ $46$
162996607	1210	096-006385-EM	217	232	$163$ $2696$ $165$ $530$ $242$ $5945$ $46$
162996607	1210	096-006385-EM	217	232	$163$ $2696$ $165$ $530$ $4201$ $1128$ $151$ $1690$ $311$ $46$
162996608	1016	080-003205-EM	250	283	$251$ $3411$ $82$ $816$ $247$ $4850$ $1296$ $330$ $460$ $520$ $632$ $122$ $1225$ $86$ $16$ $56$ $3258$ $233$ $70$ $122$ $95$ $151$ $82$ $694$ $222$ $84$ $56$ $3258$ $82$ $607$ $5$ $1251$ $46$
162996608	1016	080-003205-EM	250	283	$251$ $82$ $816$ $247$ $4850$ $4873$ $3531$ $16$ $3411$ $122$ $1225$ $1491$ $16$ $56$ $3258$ $382$ $151$ $82$ $694$ $222$ $84$ $3258$ $240$ $82$ $607$ $5$ $1252$
162996609	468	055-002818-EM	8	27	$1615$ $4892$ $1502$ $222$ $84$ UNK $4019$ $1136$ $56$ $428$ $1686$
162996609	468	055-002818-EM	8	27	$1615$ $4892$ $1502$ $56$ $222$ $84$ $4897$ $4019$ $1136$ $56$ $428$ $1686$ $46$
162996610	1093	084-014023-EM	22	30	$4956$ $1053$ $3617$ $84$ $3590$ $46$
162996610	1093	084-014023-EM	22	30	$4956$ $1136$ $1053$ $2830$ $84$ $3590$
162996611	781	063-014707-EM	39	45	$59$ $606$ $3541$ $530$ $40$ $4328$
162996611	781	063-014707-EM	39	45	$59$ $355$ $3541$ $530$ $39$ $4328$ $46$
162996612	1190	093-006689-EM	9	16	UNK $718$ $719$ $84$ $915$ $262$ $3655$ $233$ $4995$ $170$ $4997$ $46$
162996612	1190	093-006689-EM	9	16	$718$ $719$ $84$ $916$ $233$ $4996$ $171$ $748$
162996613	602	059-002472-EM	49	69	$488$ $2037$ $44$ $1057$ $262$ $2028$ $1982$
162996613	602	059-002472-EM	49	69	$520$ $1177$ $247$ $1338$ $2039$ $16$ $488$ $56$ $2037$ $2040$ $122$ $95$ $2041$ $46$
162996614	836	063-019402-EM	14	37	$222$ $1267$ $240$ $1284$ $1409$ $690$ $745$ $51$ $667$ $1288$ $2373$ $247$ $124$ $5077$ $17$ $5079$ $17$ $5081$ $128$ $46$
162996614	836	063-019402-EM	14	37	$1774$ $690$ $745$ $51$ $667$ $1288$ $2373$ $247$ $124$ $5077$ $17$ $5079$ $17$ $5081$ $128$ $17$ $222$ $1266$ $262$ $4474$ $56$ $474$ $16$ $368$ $46$
162996615	1004	080-000528-EM	259	292	$251$ $82$ $816$ $247$ $4873$ $247$ $4850$ $3531$ UNK $122$ $306$ $16$ $3411$ $3413$
162996615	1004	080-000528-EM	259	292	$251$ $3411$ $82$ $816$ $247$ $4850$ $1296$ $330$ $460$ $632$ $122$ $1225$ $82$ $816$ $16$ $56$ $3258$ $233$ $71$ $122$ $151$ $82$ $694$ $222$ $84$ $56$ $3258$ $82$ $607$ $5$ $1252$ $46$
162996616	693	062-062896-EM	95	110	$306$ $82$ $222$ $16$ $3328$ $811$ $507$ $16$ $1881$ $518$ $4834$ $46$
162996616	693	062-062896-EM	95	110	$305$ UNK $82$ $222$ $811$ $507$ $122$ $1881$ $518$ $4834$ $46$
162996617	298	032-000002-EM	6	23	$10255$ $84$ $56$ $57$ $89$ $57$ $87$ $523$ $5170$ UNK $84$ $56$ $1199$ $3111$ $3942$ $5168$ $122$ $163$ UNK $165$ $427$ $44$ $1570$ $246$ $46$
162996617	298	032-000002-EM	6	23	$1365$ UNK $5145$ $5158$ $84$ $57$ $122$ $163$ $2664$ $165$ $427$ $43$ $1570$ $246$ $46$
162996618	867	063-021933-EM	55	66	$1225$ $2486$ $118$ $2841$ $247$ $228$ $1183$ $507$ $46$
162996618	867	063-021933-EM	55	66	$5471$ $2485$ $118$ $2841$ $247$ $228$ $5193$ $1509$ $4873$ $3755$ $1183$ $507$ $46$
162996619	1269	107-007061-EM	20	28	$3809$ $486$ $5218$ $507$ $46$
162996619	1269	107-007061-EM	20	28	$3979$ $486$ $5218$ $5169$ $16$ $5215$ $16$ $5211$
162996620	961	068-006242-EM	37	43	$59$ $1279$ $61$ $530$ $2086$ $4536$ $1183$ $46$
162996620	961	068-006242-EM	37	43	$1693$ $8$ $61$ $530$ $738$ $2086$ $5295$ $1183$ $46$
162996621	609	059-007667-EM	7	20	$135$ $16$ $56$ $3286$ $694$ $1785$ $262$ $5316$ $612$ $46$
162996621	609	059-007667-EM	7	20	$1774$ $2647$ $165$ $164$ $530$ $56$ $3629$ $17$ $95$ $135$ $16$ $3286$ $694$ $1785$ $262$ $5315$ $612$ $46$
162996622	331	040-000775-EM	13	22	$163$ $199$ $165$ $627$ UNK $201$ $2514$ $5325$ $3810$ $46$
162996622	331	040-000775-EM	13	22	$1609$ $199$ $165$ $627$ $201$ $2514$ $5325$ $3810$ $46$
162996623	1092	084-013341-EM	26	32	$59$ $3036$ $61$ $530$ $109$ $262$ $395$ $46$
162996623	1092	084-013341-EM	26	32	$1693$ $3035$ $61$ $530$ $4864$ $518$ $82$ $1815$ $518$ $222$ $84$ $5346$ $262$ $627$ $50$ $5351$ $122$ $285$ $5346$ $665$ $1372$ $895$ $46$
162996624	1223	098-000444-EM	117	130	$21244$ $486$ $1055$ $247$ UNK $1463$ $5433$ $132$ $1192$ $4816$ $46$
162996624	1223	098-000444-EM	117	130	$21244$ $56$ $486$ $1055$ $262$ $5255$ $1038$ $3807$ $232$ $56$ $5421$ $725$ $46$
162996625	595	058-003820-EM	21	34	$27641$ $901$ $56$ $109$ $746$ $1136$ $1855$ $434$ $87$ $667$ $1434$ $122$ $1225$ $86$ $16$ $354$
162996625	595	058-003820-EM	21	34	$27641$ $5468$ $5469$ $5$ $112952$ $122$ $1225$ $16$ $1941$ $46$
162996626	540	055-035633-EM	107	123	$1881$ $518$ $82$ $612$ $84$ $6987$ $4325$
162996626	540	055-035633-EM	107	123	$11322$ $56$ $612$ $84$ $4891$ $262$ $9034$ $4324$
162996627	229	018-002866-EM	85	91	$163$ $3094$ $165$ $530$ $3628$ $5519$ $56$ $1610$ $142$ $4946$
162996627	229	018-002866-EM	85	91	$1609$ $3093$ $165$ $530$ $56$ $3113$ $434$ $87$ $53$ $16$ $54$ $2428$ $460$ $1233$ $262$ $2246$ $1143$
162996628	535	055-035090-EM	8	36	$3791$ $5545$ $2824$ $507$ $262$ $5092$ $530$ $16$ $809$ $262$ $4821$ $232$ $5547$ $46$
162996628	535	055-035090-EM	8	36	$7156$ $16$ $222$ $5544$ $2824$ $16$ $285$ $262$ $5553$ $122$ $3628$ $460$ $507$ $46$
162996629	1264	107-005390-EM	236	247	$26301$ $2172$ $16$ $2341$ $262$ $241$ $84$ $4707$ $122$ $262$ $2463$ $3483$ $262$ $1814$ $1860$
162996629	1264	107-005390-EM	236	247	$6035$ $5255$ $18589$ $5655$ $5594$ $262$ $2316$ $46$
162996630	230	018-003152-EM	12	22	$163$ $569$ $165$ $530$ $1570$ $233$ $342$ $122$ $6119$ $17$
162996630	230	018-003152-EM	12	22	$1609$ $568$ $165$ $530$ $6125$ $16$ $6118$ $46$
162996631	769	063-011698-EM	79	95	$60237$ $56$ $2127$ $665$ $247$ $4102$ $841$ $460$ $520$ $607$ $2205$ $1631$ $56$ $6313$ $4880$ $46$
162996631	769	063-011698-EM	79	95	$71035$ UNK $2512$ $5502$ $4102$ $6305$ $3524$ $520$ $607$ $46$
162996632	783	063-014788-EM	174	192	$12827$ $6353$ $82$ $486$ $1574$ $3807$ $247$ $56$ $341$ $6352$ $5433$ $46$
162996632	783	063-014788-EM	174	192	$1000$ $6345$ $486$ UNK $1574$ $3869$ $247$ $56$ $341$ $6352$ $5433$ UNK $419$ $43$ $251$ $86$ $5$ $872$ $2278$ $4315$ $46$
162996633	1010	080-001684-EM	230	260	$15395$ $518$ $612$ $84$ $6390$ $6392$ $1323$
162996633	1010	080-001684-EM	230	260	$15395$ $518$ $2294$ $84$ $6392$ $1136$ $44083$ $46$
162996634	335	040-002157-EM	11	25	$222$ $6439$ $262$ $6437$ $1514$ $519$ $642$ $2129$ $642$ $43$ $515$ $522$ $82$ $5046$ $222$ $46$
162996634	335	040-002157-EM	11	25	$3791$ $6439$ $240$ $56$ $694$ $222$ $530$ $56$ $6436$ $5145$ $6438$ $46$
162996635	513	055-010591-EM	61	67	$59$ $350$ $61$ $530$ $361$ $122$ $362$ $46$
162996635	513	055-010591-EM	61	67	$1693$ $349$ $61$ $530$ $364$ $366$ $372$ $373$ $374$ $46$
162996636	989	070-000339-EM	107	123	$7156$ $16$ $3028$ $82$ $612$ $84$ $5493$ $16$ $751$ $4325$ $46$
162996636	989	070-000339-EM	107	123	$11322$ $612$ $262$ $7525$ $56$ $1736$ $1085$ $6545$ $2172$ $424$ $46$
162996637	530	055-015106-EM	51	57	$1693$ $4984$ $61$ $530$ $56$ $4873$ $424$ $262$ $56$ $2974$ $6472$ $694$ $46$
162996637	530	055-015106-EM	51	57	$1693$ $4984$ $61$ $530$ $56$ $525$ $232$ $424$ $262$ $56$ $2974$ $6472$ $694$ $46$
162996638	460	055-001909-EM	83	89	$78351$ $30$ $530$ $56$ $6481$ $474$ $247$ $56$ $520$ $6475$ $327$ $6476$ $612$ $46$
162996638	460	055-001909-EM	83	89	$1609$ $30$ $165$ $530$ $82$ $473$ $424$ $233$ $6477$ $327$ $170$ $835$ $5145$ $230$ $56$ $520$ $6475$ $327$ $6476$ $46$
162996639	482	055-005170-EM	56	65	$1693$ $481$ $61$ $530$ $3608$ $56$ $469$ $247$ $56$ $2229$ $366$ $233$ $155$ $472$ $46$
162996639	482	055-005170-EM	56	65	$1693$ $481$ $61$ $530$ $56$ $2230$ $366$ $46$
162996640	571	057-012366-EM	9	14	$488$ $901$ $247$ $56$ $1624$ $800$ $801$ $1583$ $17$ $584$ $122$ UNK $579$ $46$
162996640	571	057-012366-EM	9	14	$62937$ $2974$ $139$ $746$ $17$ $1270$ $46$
162996641	548	057-000455-EM	45	51	$59$ $1271$ $61$ $530$ $307$ $665$ $612$ $84$ $6518$ $6520$ $230$ $2975$
162996641	548	057-000455-EM	45	51	$1693$ $1270$ $98561$ $262$ $6512$ $2211$ $46$
